date,home_team,away_team,team,scorer,minute,own_goal,penalty
11/15/2014,Spain,Belarus,Spain,Isco,18,FALSE,FALSE
11/15/2014,Spain,Belarus,Spain,Sergio Busquets,19,FALSE,FALSE
11/15/2014,Spain,Belarus,Spain,Pedro,55,FALSE,FALSE
11/15/2014,Switzerland,Lithuania,Switzerland,Giedrius Arlauskis,66,TRUE,FALSE
11/15/2014,Switzerland,Lithuania,Switzerland,Fabian Schär,68,FALSE,FALSE
11/15/2014,Switzerland,Lithuania,Switzerland,Xherdan Shaqiri,80,FALSE,FALSE
11/15/2014,Switzerland,Lithuania,Switzerland,Xherdan Shaqiri,90,FALSE,FALSE
11/16/2014,Azerbaijan,Norway,Norway,Håvard Nordtveit,25,FALSE,FALSE
11/16/2014,Bulgaria,Malta,Bulgaria,Andrey Galabinov,6,FALSE,FALSE
11/16/2014,Bulgaria,Malta,Malta,Clayton Failla,49,FALSE,TRUE
11/16/2014,Cyprus,Andorra,Cyprus,Giorgos Merkis,9,FALSE,FALSE
11/16/2014,Cyprus,Andorra,Cyprus,Georgios Efrem,31,FALSE,FALSE
11/16/2014,Cyprus,Andorra,Cyprus,Georgios Efrem,42,FALSE,FALSE
11/16/2014,Cyprus,Andorra,Cyprus,Georgios Efrem,60,FALSE,FALSE
11/16/2014,Cyprus,Andorra,Cyprus,Demetris Christofi,87,FALSE,TRUE
11/16/2014,Czech Republic,Iceland,Iceland,Ragnar Sigurðsson,9,FALSE,FALSE
11/16/2014,Czech Republic,Iceland,Czech Republic,Pavel Kadeřábek,45,FALSE,FALSE
11/16/2014,Czech Republic,Iceland,Czech Republic,Jón Daði Böðvarsson,61,TRUE,FALSE
11/16/2014,Israel,Bosnia and Herzegovina,Israel,Gil Vermouth,36,FALSE,FALSE
11/16/2014,Israel,Bosnia and Herzegovina,Israel,Omer Damari,45,FALSE,FALSE
11/16/2014,Israel,Bosnia and Herzegovina,Israel,Eran Zahavi,70,FALSE,FALSE
11/16/2014,Italy,Croatia,Italy,Antonio Candreva,11,FALSE,FALSE
11/16/2014,Italy,Croatia,Croatia,Ivan Perišić,15,FALSE,FALSE
11/16/2014,Netherlands,Latvia,Netherlands,Robin van Persie,6,FALSE,FALSE
11/16/2014,Netherlands,Latvia,Netherlands,Arjen Robben,35,FALSE,FALSE
11/16/2014,Netherlands,Latvia,Netherlands,Klaas-Jan Huntelaar,42,FALSE,FALSE
11/16/2014,Netherlands,Latvia,Netherlands,Jeffrey Bruma,78,FALSE,FALSE
11/16/2014,Netherlands,Latvia,Netherlands,Arjen Robben,82,FALSE,FALSE
11/16/2014,Netherlands,Latvia,Netherlands,Klaas-Jan Huntelaar,89,FALSE,FALSE
11/16/2014,Turkey,Kazakhstan,Turkey,Burak Yılmaz,26,FALSE,TRUE
11/16/2014,Turkey,Kazakhstan,Turkey,Burak Yılmaz,29,FALSE,FALSE
11/16/2014,Turkey,Kazakhstan,Turkey,Serdar Aziz,83,FALSE,FALSE
11/16/2014,Turkey,Kazakhstan,Kazakhstan,Samat Smakov,87,FALSE,TRUE
1/9/2015,Australia,Kuwait,Kuwait,Hussain Fadhel,8,FALSE,FALSE
1/9/2015,Australia,Kuwait,Australia,Tim Cahill,33,FALSE,FALSE
1/9/2015,Australia,Kuwait,Australia,Massimo Luongo,45,FALSE,FALSE
1/9/2015,Australia,Kuwait,Australia,Mile Jedinak,62,FALSE,TRUE
1/9/2015,Australia,Kuwait,Australia,James Troisi,90,FALSE,FALSE
1/10/2015,Saudi Arabia,China PR,China PR,Yu Hai,81,FALSE,FALSE
1/10/2015,South Korea,Oman,South Korea,Cho Young-cheol,45,FALSE,FALSE
1/10/2015,Uzbekistan,North Korea,Uzbekistan,Igor Sergeev,62,FALSE,FALSE
1/11/2015,Iran,Bahrain,Iran,Ehsan Hajsafi,45,FALSE,FALSE
1/11/2015,Iran,Bahrain,Iran,Masoud Shojaei,71,FALSE,FALSE
1/11/2015,United Arab Emirates,Qatar,Qatar,Khalfan Ibrahim,23,FALSE,FALSE
1/11/2015,United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,37,FALSE,FALSE
1/11/2015,United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,52,FALSE,FALSE
1/11/2015,United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,56,FALSE,FALSE
1/11/2015,United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,90,FALSE,FALSE
1/12/2015,Japan,Palestine,Japan,Yasuhito Endō,8,FALSE,FALSE
1/12/2015,Japan,Palestine,Japan,Shinji Okazaki,25,FALSE,FALSE
1/12/2015,Japan,Palestine,Japan,Keisuke Honda,43,FALSE,TRUE
1/12/2015,Japan,Palestine,Japan,Maya Yoshida,49,FALSE,FALSE
1/12/2015,Jordan,Iraq,Iraq,Yaser Kasim,77,FALSE,FALSE
1/13/2015,Australia,Oman,Australia,Matt McKay,27,FALSE,FALSE
1/13/2015,Australia,Oman,Australia,Robbie Kruse,30,FALSE,FALSE
1/13/2015,Australia,Oman,Australia,Mark Milligan,45,FALSE,TRUE
1/13/2015,Australia,Oman,Australia,Tomi Juric,70,FALSE,FALSE
1/13/2015,Kuwait,South Korea,South Korea,Nam Tae-hee,36,FALSE,FALSE
1/14/2015,China PR,Uzbekistan,Uzbekistan,Odil Ahmedov,23,FALSE,FALSE
1/14/2015,China PR,Uzbekistan,China PR,Wu Xi,54,FALSE,FALSE
1/14/2015,China PR,Uzbekistan,China PR,Sun Ke,68,FALSE,FALSE
1/14/2015,North Korea,Saudi Arabia,North Korea,Ryang Yong-gi,12,FALSE,FALSE
1/14/2015,North Korea,Saudi Arabia,Saudi Arabia,Naif Hazazi,37,FALSE,FALSE
1/14/2015,North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,52,FALSE,FALSE
1/14/2015,North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,54,FALSE,FALSE
1/14/2015,North Korea,Saudi Arabia,Saudi Arabia,Nawaf Al-Abed,76,FALSE,FALSE
1/15/2015,Bahrain,United Arab Emirates,United Arab Emirates,Ali Mabkhout,1,FALSE,FALSE
1/15/2015,Bahrain,United Arab Emirates,Bahrain,Jaycee John Okwunwanne,26,FALSE,FALSE
1/15/2015,Bahrain,United Arab Emirates,United Arab Emirates,Mohamed Husain,74,TRUE,FALSE
1/15/2015,Qatar,Iran,Iran,Sardar Azmoun,52,FALSE,FALSE
1/16/2015,Iraq,Japan,Japan,Keisuke Honda,23,FALSE,TRUE
1/16/2015,Palestine,Jordan,Jordan,Yousef Al-Rawashdeh,32,FALSE,FALSE
1/16/2015,Palestine,Jordan,Jordan,Hamza Al-Dardour,34,FALSE,FALSE
1/16/2015,Palestine,Jordan,Jordan,Hamza Al-Dardour,45,FALSE,FALSE
1/16/2015,Palestine,Jordan,Jordan,Hamza Al-Dardour,75,FALSE,FALSE
1/16/2015,Palestine,Jordan,Jordan,Hamza Al-Dardour,79,FALSE,FALSE
1/16/2015,Palestine,Jordan,Palestine,Jaka Ihbeisheh,84,FALSE,FALSE
1/17/2015,Australia,South Korea,South Korea,Lee Jung-hyup,33,FALSE,FALSE
1/17/2015,Burkina Faso,Gabon,Gabon,Pierre-Emerick Aubameyang,19,FALSE,FALSE
1/17/2015,Burkina Faso,Gabon,Gabon,Malick Evouna,72,FALSE,FALSE
1/17/2015,Equatorial Guinea,Congo,Equatorial Guinea,Emilio Nsue,16,FALSE,FALSE
1/17/2015,Equatorial Guinea,Congo,Congo,Thievy Bifouma,87,FALSE,FALSE
1/17/2015,Oman,Kuwait,Oman,Abdul Aziz Al-Muqbali,69,FALSE,FALSE
1/18/2015,China PR,North Korea,China PR,Sun Ke,1,FALSE,FALSE
1/18/2015,China PR,North Korea,China PR,Sun Ke,42,FALSE,FALSE
1/18/2015,China PR,North Korea,North Korea,Gao Lin,57,TRUE,FALSE
1/18/2015,Tunisia,Cape Verde,Tunisia,Mohamed Ali Manser,70,FALSE,FALSE
1/18/2015,Tunisia,Cape Verde,Cape Verde,Héldon Ramos,78,FALSE,TRUE
1/18/2015,Uzbekistan,Saudi Arabia,Uzbekistan,Sardor Rashidov,2,FALSE,FALSE
1/18/2015,Uzbekistan,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,60,FALSE,TRUE
1/18/2015,Uzbekistan,Saudi Arabia,Uzbekistan,Vokhid Shodiev,71,FALSE,FALSE
1/18/2015,Uzbekistan,Saudi Arabia,Uzbekistan,Sardor Rashidov,78,FALSE,FALSE
1/18/2015,Zambia,DR Congo,Zambia,Given Singuluma,2,FALSE,FALSE
1/18/2015,Zambia,DR Congo,DR Congo,Yannick Bolasie,66,FALSE,FALSE
1/19/2015,Algeria,South Africa,South Africa,Thuso Phala,51,FALSE,FALSE
1/19/2015,Algeria,South Africa,Algeria,Thulani Hlatshwayo,67,TRUE,FALSE
1/19/2015,Algeria,South Africa,Algeria,Faouzi Ghoulam,72,FALSE,FALSE
1/19/2015,Algeria,South Africa,Algeria,Islam Slimani,83,FALSE,FALSE
